0,1,2,3,4
Round,train_losses,train_accs,val_Losses,val_accs
0,-1,-1,-1,-1
1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,-1,-1,-1
4,-1,-1,-1,-1
5,-1,-1,-1,-1
6,-1,-1,-1,-1
7,-1,-1,-1,-1
8,-1,-1,-1,-1
9,-1,-1,-1,-1
10,-1,-1,-1,-1
11,-1,-1,-1,-1
12,-1,-1,-1,-1
13,-1,-1,-1,-1
14,-1,-1,-1,-1
15,-1,-1,-1,-1
16,-1,-1,-1,-1
17,-1,-1,-1,-1
18,-1,-1,-1,-1
19,-1,-1,-1,-1
20,-1,-1,-1,-1
21,-1,-1,-1,-1
22,-1,-1,-1,-1
23,-1,-1,-1,-1
24,-1,-1,-1,-1
25,-1,-1,-1,-1
26,-1,-1,-1,-1
27,-1,-1,-1,-1
28,-1,-1,-1,-1
29,-1,-1,-1,-1
30,-1,-1,-1,-1
31,-1,-1,-1,-1
32,-1,-1,-1,-1
33,-1,-1,-1,-1
34,-1,-1,-1,-1
35,-1,-1,-1,-1
36,-1,-1,-1,-1
37,-1,-1,-1,-1
38,-1,-1,-1,-1
39,-1,-1,-1,-1
40,-1,-1,-1,-1
41,-1,-1,-1,-1
42,-1,-1,-1,-1
43,-1,-1,-1,-1
44,-1,-1,-1,-1
45,-1,-1,-1,-1
46,-1,-1,-1,-1
47,-1,-1,-1,-1
48,-1,-1,-1,-1
49,-1,-1,-1,-1
50,-1,-1,-1,-1
51,-1,-1,-1,-1
52,-1,-1,-1,-1
53,-1,-1,-1,-1
54,-1,-1,-1,-1
55,-1,-1,-1,-1
56,-1,-1,-1,-1
57,-1,-1,-1,-1
58,-1,-1,-1,-1
59,-1,-1,-1,-1
60,-1,-1,-1,-1
61,-1,-1,-1,-1
62,-1,-1,-1,-1
63,-1,-1,-1,-1
64,-1,-1,-1,-1
65,-1,-1,-1,-1
66,-1,-1,-1,-1
67,-1,-1,-1,-1
68,-1,-1,-1,-1
69,-1,-1,-1,-1
70,-1,-1,-1,-1
71,-1,-1,-1,-1
72,-1,-1,-1,-1
73,-1,-1,-1,-1
74,-1,-1,-1,-1
75,-1,-1,-1,-1
76,-1,-1,-1,-1
77,-1,-1,-1,-1
78,-1,-1,-1,-1
79,-1,-1,-1,-1
80,-1,-1,-1,-1
81,-1,-1,-1,-1
82,-1,-1,-1,-1
83,-1,-1,-1,-1
84,-1,-1,-1,-1
85,-1,-1,-1,-1
86,-1,-1,-1,-1
87,-1,-1,-1,-1
88,-1,-1,-1,-1
89,-1,-1,-1,-1
90,-1,-1,-1,-1
91,-1,-1,-1,-1
92,-1,-1,-1,-1
93,-1,-1,-1,-1
94,-1,-1,-1,-1
95,-1,-1,-1,-1
96,-1,-1,-1,-1
97,-1,-1,-1,-1
98,-1,-1,-1,-1
99,-1,-1,-1,-1
100,-1,-1,-1,-1
101,-1,-1,-1,-1
102,-1,-1,-1,-1
103,-1,-1,-1,-1
104,-1,-1,-1,-1
105,-1,-1,-1,-1
106,-1,-1,-1,-1
107,-1,-1,-1,-1
108,-1,-1,-1,-1
109,-1,-1,-1,-1
110,-1,-1,-1,-1
111,-1,-1,-1,-1
112,-1,-1,-1,-1
113,-1,-1,-1,-1
114,-1,-1,-1,-1
115,-1,-1,-1,-1
116,-1,-1,-1,-1
117,-1,-1,-1,-1
118,-1,-1,-1,-1
119,-1,-1,-1,-1
120,3.8216206645965576,0.1175,3.8654787826538084,0.1600000011920929
121,3.6221148586273193,0.135,3.6004530429840087,0.18000000178813935
122,3.656910009384155,0.1425,3.7045335578918457,0.21000000059604645
123,3.619150791168213,0.13,3.60847599029541,0.1500000023841858
124,3.591840000152588,0.1525,3.637423858642578,0.2299999988079071
125,3.614492473602295,0.13,3.6206935119628905,0.16000000059604644
126,3.529218111038208,0.165,3.568065013885498,0.24000000059604645
127,3.633300952911377,0.1325,3.6529438877105713,0.16000000029802322
128,3.487256097793579,0.1725,3.523670406341553,0.2399999988079071
129,3.6325663471221925,0.135,3.6695685958862305,0.1500000023841858
130,3.450568857192993,0.1675,3.4818799781799314,0.25000000357627866
131,3.6278747940063476,0.1325,3.6768464279174804,0.16000000178813933
132,3.430764694213867,0.1725,3.4660975456237795,0.25000000119209287
133,3.627455024719238,0.1375,3.686823081970215,0.16000000029802322
134,3.396975612640381,0.185,3.428830986022949,0.2600000047683716
135,3.610625457763672,0.145,3.6807249641418456,0.1600000011920929
136,3.3693476581573485,0.1825,3.398433656692505,0.2700000047683716
137,3.607110843658447,0.1475,3.6869644832611086,0.16000000059604644
138,3.3513294887542724,0.185,3.385599479675293,0.2700000047683716
139,3.5897404956817627,0.15,3.677812337875366,0.1700000011920929
140,3.343808650970459,0.18,3.3742780685424805,0.2500000047683716
140,3.343808126449585,0.18,3.374278268814087,0.2500000047683716
141,3.4769165897369385,0.17,3.5714252948760987,0.2100000011920929
141,3.476916627883911,0.17,3.57142578125,0.2100000011920929
142,3.231224842071533,0.2175,3.2601053142547607,0.25
142,3.23122522354126,0.2175,3.260105619430542,0.25
143,3.4785783863067627,0.165,3.593420648574829,0.18000000178813935
143,3.47857795715332,0.165,3.593420534133911,0.18000000476837158
144,3.1884701919555662,0.2275,3.2155367946624756,0.2600000047683716
144,3.188470678329468,0.2275,3.2155368328094482,0.2600000047683716
145,3.465098762512207,0.1725,3.592945909500122,0.19000000178813933
145,3.4650987339019776,0.1725,3.592946195602417,0.19
146,3.1650897026062013,0.245,3.1995421409606934,0.28000000238418576
146,3.165089464187622,0.245,3.19954252243042,0.28000000059604646
147,3.450097074508667,0.175,3.5953047370910642,0.1899999988079071
