round,test_acc,test_loss,train_loss,val_loss,train_acc,val_acc
0,0.8112,0.8688494268417358,0.8933456119738131,0.8936829648519818,0.8085307017543861,0.8071929824561404
1,0.8112,0.8688494348526001,0.8926905286312101,0.8947157028104578,0.8086383928571429,0.8067857142857143
2,0.8112,0.8688494323730469,0.8926905322500635,0.894715598183019,0.8086383928571429,0.8067857142857143
3,0.8112,0.8688494368553161,0.8930588587125144,0.8937278395449674,0.8087962962962965,0.8067592592592592
4,0.8112,0.8688494255065918,0.8925684376482691,0.8935609233604285,0.8092452830188682,0.8066981132075473
5,0.8112,0.8688494398117066,0.8917006809436359,0.8932916535322488,0.8099759615384616,0.806923076923077
6,0.8112,0.8688494379043579,0.8909561229248842,0.8920648790399235,0.8106510416666667,0.8059375000000001
7,0.8112,0.868849440574646,0.8901527792474492,0.8923708025268888,0.8112771739130437,0.8064130434782608
8,0.8112,0.8688494199752808,0.8899143546277827,0.8933790065483617,0.8115625000000002,0.8053409090909092
9,0.9212,0.26519948444366453,0.26032420949389534,0.2881781514476807,0.9222619047619047,0.9129761904761906
10,0.9212,0.26519948345422745,0.25877867666631926,0.286091055023484,0.9220625,0.9142500000000002
11,0.9212,0.2651994823217392,0.25877868849039076,0.2860912434225902,0.9220625,0.9142500000000002
12,0.9212,0.26519948048591613,0.26897850729384526,0.28700038842575726,0.9205424528301883,0.9134905660377359
13,0.9212,0.2651994767189026,0.2654621227424252,0.2807464805118401,0.921193181818182,0.9161363636363639
14,0.9212,0.2651994827747345,0.2751829418951068,0.27958757704445,0.9188362068965515,0.9161206896551723
15,0.9212,0.26519948649406433,0.2742728269150701,0.2912964152450027,0.9192584745762711,0.9128813559322034
16,0.9212,0.2651994868516922,0.270616194554444,0.2833920351088304,0.9183405172413792,0.9162068965517242
17,0.9212,0.26519948344230654,0.2749455656198894,0.2713361639032762,0.9194362745098038,0.9166666666666666
18,0.9365,0.2103764361023903,0.2097085370281909,0.2282019909812098,0.937845744680851,0.9327659574468082
19,0.9365,0.21037643523216248,0.2205066545251405,0.23071859268190437,0.9362028301886792,0.9323584905660377
20,0.9365,0.2103764343738556,0.22097974926765476,0.23002111160030056,0.934464285714286,0.9326785714285716
21,0.9365,0.2103764968395233,0.21254624930005972,0.2284116846804575,0.9368597560975607,0.9317073170731707
