0,1,2,3,4
Round,train_losses,train_accs,val_Losses,val_accs
0,-1,-1,-1,-1
1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,-1,-1,-1
4,-1,-1,-1,-1
5,-1,-1,-1,-1
6,-1,-1,-1,-1
7,-1,-1,-1,-1
8,-1,-1,-1,-1
9,-1,-1,-1,-1
10,-1,-1,-1,-1
11,-1,-1,-1,-1
12,-1,-1,-1,-1
13,-1,-1,-1,-1
14,-1,-1,-1,-1
15,-1,-1,-1,-1
16,-1,-1,-1,-1
17,-1,-1,-1,-1
18,-1,-1,-1,-1
19,-1,-1,-1,-1
20,-1,-1,-1,-1
21,-1,-1,-1,-1
22,-1,-1,-1,-1
23,-1,-1,-1,-1
24,-1,-1,-1,-1
25,-1,-1,-1,-1
26,-1,-1,-1,-1
27,-1,-1,-1,-1
28,-1,-1,-1,-1
29,-1,-1,-1,-1
30,-1,-1,-1,-1
31,-1,-1,-1,-1
32,-1,-1,-1,-1
33,-1,-1,-1,-1
34,-1,-1,-1,-1
35,-1,-1,-1,-1
36,-1,-1,-1,-1
37,-1,-1,-1,-1
38,-1,-1,-1,-1
39,-1,-1,-1,-1
40,-1,-1,-1,-1
41,-1,-1,-1,-1
42,-1,-1,-1,-1
43,-1,-1,-1,-1
44,-1,-1,-1,-1
45,-1,-1,-1,-1
46,-1,-1,-1,-1
47,-1,-1,-1,-1
48,-1,-1,-1,-1
49,-1,-1,-1,-1
50,-1,-1,-1,-1
51,-1,-1,-1,-1
52,-1,-1,-1,-1
53,-1,-1,-1,-1
54,-1,-1,-1,-1
55,-1,-1,-1,-1
56,-1,-1,-1,-1
57,-1,-1,-1,-1
58,-1,-1,-1,-1
59,-1,-1,-1,-1
60,-1,-1,-1,-1
61,-1,-1,-1,-1
62,-1,-1,-1,-1
63,-1,-1,-1,-1
64,-1,-1,-1,-1
65,-1,-1,-1,-1
66,-1,-1,-1,-1
67,-1,-1,-1,-1
68,-1,-1,-1,-1
69,-1,-1,-1,-1
70,-1,-1,-1,-1
71,-1,-1,-1,-1
72,-1,-1,-1,-1
73,-1,-1,-1,-1
74,-1,-1,-1,-1
75,-1,-1,-1,-1
76,-1,-1,-1,-1
77,-1,-1,-1,-1
78,-1,-1,-1,-1
79,-1,-1,-1,-1
80,-1,-1,-1,-1
81,-1,-1,-1,-1
82,-1,-1,-1,-1
83,-1,-1,-1,-1
84,-1,-1,-1,-1
85,-1,-1,-1,-1
86,-1,-1,-1,-1
87,-1,-1,-1,-1
88,-1,-1,-1,-1
89,-1,-1,-1,-1
90,-1,-1,-1,-1
91,-1,-1,-1,-1
92,-1,-1,-1,-1
93,-1,-1,-1,-1
94,-1,-1,-1,-1
95,-1,-1,-1,-1
96,-1,-1,-1,-1
97,-1,-1,-1,-1
98,-1,-1,-1,-1
99,-1,-1,-1,-1
100,5.571818158784265,0.0,5.460811314216027,0.0
101,3.50153710498884,0.0038910505836575876,3.45425601372352,0.0
102,3.402696934191633,0.0,3.335939752138578,0.0
103,4.132881498522332,0.0,4.0751202950110805,0.0
104,3.0820033587370403,0.0,2.9986003729013295,0.0
105,4.9903949299675014,0.0,4.928953321163471,0.0
106,2.8361969597144814,0.0,2.747371691923875,0.0
107,5.099083859632915,0.0,5.042816294156588,0.0
108,3.1572919587680803,0.0,3.0655882798708403,0.0
109,4.257287585781706,0.0,4.202478122711182,0.0
110,3.262957063630397,0.0038910505836575876,3.1715692153343786,0.0
111,4.4283829570280435,0.0,4.372844406274649,0.0
112,3.2957050197319298,0.0038910505836575876,3.1945955349848822,0.0
113,4.405188168069268,0.0,4.331326858813946,0.0
114,3.3029808868230086,0.0,3.235549963437594,0.0
115,3.8502395589064067,0.0,3.7545498334444485,0.0
116,3.502590457752985,0.0,3.466047554749709,0.0
117,3.921753549390266,0.0,3.819022464752197,0.0
118,3.3704214058961384,0.0,3.3376208342038667,0.0
119,3.684946979530127,0.0,3.59044347176185,0.0
120,3.7844066443610282,0.0,3.741582573377169,0.0
121,3.4259738875734205,0.0,3.3328887939453127,0.0
122,4.116024536845285,0.0,4.0644709073580225,0.0
123,3.4479138164668695,0.0,3.343570015980647,0.0
124,4.311482147483974,0.0,4.252100342970628,0.0
125,3.3839273981547078,0.0,3.2985052512242246,0.0
126,3.811203843424756,0.0,3.750834846496582,0.0
127,4.044704862141887,0.0,3.963207538311298,0.0
128,2.8483838181551326,0.038910505836575876,2.8022896950061504,0.06153846153846154
129,4.838109209379797,0.0,4.77831916809082,0.0
130,2.673007429805711,0.03501945525291829,2.6336398931650016,0.06153846153846154
131,5.311589879284573,0.0,5.269133963951698,0.0
132,2.9962012739960784,0.011673151750972763,2.963747893846952,0.015384615384615385
133,4.387357867645383,0.0,4.361549729567308,0.0
134,3.304698294702671,0.0038910505836575876,3.2676437671367937,0.0
135,3.8620326565397387,0.0,3.8353854216062104,0.0
136,3.773072491360082,0.0038910505836575876,3.720601771428035,0.0
137,3.7265115155320223,0.0,3.655075799501859,0.0
138,4.188982480230962,0.0,4.12811354123629,0.0
139,3.464873655296949,0.0,3.401811350308932,0.0
140,3.3890832797098716,0.0,3.3946477303138147,0.0
141,3.895186812033449,0.0,3.8343600823329047,0.0
142,3.2023814457399835,0.0,3.1966984345362737,0.0
143,4.212551718092151,0.0,4.143143077997061,0.0
144,2.737479056365759,0.038910505836575876,2.734072344119732,0.015384615384615385
145,5.197697724813617,0.0,5.114133622096135,0.0
146,2.5636832658418887,0.0622568093385214,2.569185961209811,0.046153846153846156
147,5.368751839441084,0.0,5.282885954930232,0.0
148,2.7536580293558917,0.04669260700389105,2.754363148029034,0.015384615384615385
