round,test_acc,test_loss,train_loss,val_loss,train_acc,val_acc
0,0.6896,1.0443148345947266,1.0731859467630807,1.0671337771222755,0.6807485534525339,0.6861894284867038
1,0.6896,1.0443148217201232,1.0715393916252034,1.0639748107104952,0.6823684934780002,0.6881866106734573
2,0.6896,1.0443148279190064,1.0685104492559945,1.0623492235198964,0.6847969643502514,0.6902488044408419
3,0.8779,0.38934219312667845,0.40273238888886326,0.40588647366406166,0.8767915222866155,0.8755431115859382
4,0.8779,0.38934219164848327,0.40229527779813584,0.40713058786412853,0.8774761593350114,0.8752443646850483
5,0.8779,0.3893421932220459,0.39863819266148987,0.41314144118235774,0.8786624547861983,0.8730476491263847
6,0.8976,0.3352965468883514,0.3402827525669786,0.3589421121162116,0.8953112435431908,0.8924968412433456
7,0.8976,0.33529652955532074,0.3404702777422132,0.34255599639557305,0.8948460031746079,0.8971784994168129
8,0.8976,0.33529652650356295,0.34852788005973456,0.3368412410338391,0.8919953669430193,0.8995803996415445
9,0.9175,0.2644975538730621,0.27325896141326245,0.26081508187501523,0.9164635109139447,0.923512356167659
10,0.9175,0.26449755338430403,0.2735530574948326,0.2744405098072553,0.9165275638049681,0.9192695575501543
11,0.9175,0.2644975525707006,0.2761602641368551,0.27920939867574174,0.9144726720474708,0.9175141745630521
12,0.9255,0.24314788112640381,0.244454403929297,0.25131764517189054,0.9269579088165806,0.9240874991324715
13,0.9255,0.2431478779911995,0.24328816731427452,0.251013705987483,0.9276739979343428,0.9232800121272803
14,0.9255,0.2431478801250458,0.23695205388355722,0.25458476996646484,0.9279683795315796,0.9233826090782149
15,0.935,0.21368243799209594,0.21062480277445417,0.22743354125094078,0.935781223990152,0.9309613229872368
16,0.935,0.21368243989944458,0.20688862504165556,0.23202057441852245,0.9362014392028725,0.9303240455528222
17,0.935,0.2136824365377426,0.21857231232292357,0.23698400303594708,0.934484890123986,0.9312294512324085
18,0.9389,0.1957098354101181,0.20552922643422397,0.2251534975241707,0.9391795234210258,0.9340144918390859
19,0.9389,0.19570983803272246,0.20606104681268733,0.22238265525687295,0.9401932549504916,0.9342019288986301
20,0.9389,0.19570983773469924,0.19768757293091777,0.2311379390098166,0.9426207534039095,0.9300973482408711
21,0.9461,0.17993784958422185,0.16947883892979093,0.20412875764017763,0.9497597422746259,0.9371259997894575
22,0.9461,0.17993784790039064,0.167255663928231,0.20407116829939867,0.9512618973713939,0.937747825942587
23,0.9461,0.17993785128593445,0.18164288093651265,0.19302824323652765,0.946517784028515,0.9407328633295453
24,0.944,0.1746435904622078,0.1638778814501942,0.18850367843309407,0.9500340037301344,0.9429726396410778
25,0.944,0.17464358702898025,0.16215383766646607,0.19426916797652352,0.9513106850669776,0.9426786980144237
