0,1,2,3,4
Round,train_losses,train_accs,val_Losses,val_accs
0,-1,-1,-1,-1
1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,-1,-1,-1
4,-1,-1,-1,-1
5,-1,-1,-1,-1
6,-1,-1,-1,-1
7,-1,-1,-1,-1
8,-1,-1,-1,-1
9,-1,-1,-1,-1
10,-1,-1,-1,-1
11,-1,-1,-1,-1
12,-1,-1,-1,-1
13,-1,-1,-1,-1
14,-1,-1,-1,-1
15,-1,-1,-1,-1
16,-1,-1,-1,-1
17,-1,-1,-1,-1
18,-1,-1,-1,-1
19,-1,-1,-1,-1
20,-1,-1,-1,-1
21,-1,-1,-1,-1
22,-1,-1,-1,-1
23,-1,-1,-1,-1
24,-1,-1,-1,-1
25,-1,-1,-1,-1
26,-1,-1,-1,-1
27,-1,-1,-1,-1
28,-1,-1,-1,-1
29,-1,-1,-1,-1
30,-1,-1,-1,-1
31,-1,-1,-1,-1
32,-1,-1,-1,-1
33,-1,-1,-1,-1
34,-1,-1,-1,-1
35,-1,-1,-1,-1
36,-1,-1,-1,-1
37,-1,-1,-1,-1
38,-1,-1,-1,-1
39,-1,-1,-1,-1
40,-1,-1,-1,-1
41,-1,-1,-1,-1
42,-1,-1,-1,-1
43,-1,-1,-1,-1
44,-1,-1,-1,-1
45,-1,-1,-1,-1
46,-1,-1,-1,-1
47,-1,-1,-1,-1
48,-1,-1,-1,-1
49,-1,-1,-1,-1
50,-1,-1,-1,-1
51,-1,-1,-1,-1
52,-1,-1,-1,-1
53,-1,-1,-1,-1
54,-1,-1,-1,-1
55,-1,-1,-1,-1
56,-1,-1,-1,-1
57,-1,-1,-1,-1
58,-1,-1,-1,-1
59,-1,-1,-1,-1
60,-1,-1,-1,-1
61,-1,-1,-1,-1
62,-1,-1,-1,-1
63,-1,-1,-1,-1
64,-1,-1,-1,-1
65,-1,-1,-1,-1
66,-1,-1,-1,-1
67,-1,-1,-1,-1
68,-1,-1,-1,-1
69,-1,-1,-1,-1
70,-1,-1,-1,-1
71,-1,-1,-1,-1
72,-1,-1,-1,-1
73,-1,-1,-1,-1
74,-1,-1,-1,-1
75,-1,-1,-1,-1
76,-1,-1,-1,-1
77,-1,-1,-1,-1
78,-1,-1,-1,-1
79,-1,-1,-1,-1
80,-1,-1,-1,-1
81,-1,-1,-1,-1
82,-1,-1,-1,-1
83,-1,-1,-1,-1
84,-1,-1,-1,-1
85,-1,-1,-1,-1
86,-1,-1,-1,-1
87,-1,-1,-1,-1
88,-1,-1,-1,-1
89,-1,-1,-1,-1
90,-1,-1,-1,-1
91,-1,-1,-1,-1
92,-1,-1,-1,-1
93,-1,-1,-1,-1
94,-1,-1,-1,-1
95,-1,-1,-1,-1
96,-1,-1,-1,-1
97,-1,-1,-1,-1
98,-1,-1,-1,-1
99,-1,-1,-1,-1
100,0.041250176472427506,0.9895960832313342,0.06796790535554909,0.9853300733496333
101,0.03378101411381579,0.9908200734394125,0.05774765812124702,0.9853300720380396
102,0.03586248459802847,0.9908200728557685,0.06120126205781124,0.9853300720380396
103,0.03560738049839672,0.9908200734394125,0.06003348466263934,0.9853300733496333
104,0.03448932486924832,0.9908200734394125,0.058884544395966895,0.9853300733496333
105,0.03355153924654462,0.9908200728557685,0.057607684712538215,0.9853300733496333
106,0.03292756072602336,0.9908200734394125,0.0572055025996235,0.9853300720380396
107,0.03507859905500015,0.9908200734394125,0.059783929476200225,0.9853300733496333
108,0.032315944826442435,0.9914320685434517,0.055918864206773,0.9853300733496333
109,0.032846388811726614,0.9908200728557685,0.05687373461233666,0.9853300733496333
110,0.03299980259966675,0.9908200728557685,0.057391420266338256,0.9853300733496333
111,0.03298593922136317,0.9908200734394125,0.05701676776181806,0.9853300733496333
112,0.032127252721764615,0.9908200734394125,0.055491561775976986,0.9853300720380396
113,0.03224737604115628,0.9908200734394125,0.055900827672988325,0.9853300743697616
114,0.03306899952954149,0.9908200728557685,0.05728071573939548,0.9853300733496333
115,0.02996782241491749,0.9920440636474909,0.05283161337444135,0.9853300733496333
116,0.030271974359177316,0.9914320679598077,0.053899724901742635,0.9853300733496333
117,0.03160530485376953,0.9914320685434517,0.05495946499129671,0.9853300733496333
118,0.030702208695452173,0.9914320685434517,0.05496824162950725,0.9853300720380396
119,0.03063412273309514,0.9914320679598077,0.05429181981203317,0.9853300733496333
120,0.027534359801592558,0.9938800489596084,0.04990614849896441,0.9853300733496333
120,0.02753437769677914,0.9938800489596084,0.049906143349365384,0.9853300733496333
121,0.021597213833393344,0.996328028792121,0.04153552257927239,0.9853300733496333
121,0.02159721902463325,0.996328028792121,0.04153551427820529,0.9853300720380396
122,0.023537018412730978,0.9951040391676866,0.045012636442639135,0.9853300733496333
122,0.0235370528625468,0.9951040391676866,0.045012637007353064,0.9853300733496333
123,0.02062442265405357,0.996328028792121,0.040407502957708535,0.9853300733496333
123,0.020624422892298884,0.996328029375765,0.04040747905186489,0.9853300733496333
124,0.020776729426612323,0.9957160342717258,0.04142179811022684,0.9853300720380396
124,0.02077673371046818,0.9957160336880818,0.04142184066301562,0.9853300720380396
125,0.020548793418000075,0.996328029375765,0.040791782009139806,0.9853300733496333
125,0.02054879819573048,0.996328029375765,0.04079181125756435,0.9853300720380396
126,0.02102780270514465,0.996328029375765,0.04070657408343113,0.9853300720380396
126,0.021027798030862865,0.996328029375765,0.040706559423639606,0.9853300720380396
127,0.020274227487340552,0.996328029375765,0.040275544339157913,0.9853300733496333
127,0.020274204789060127,0.996328029375765,0.040275348027061425,0.9853300733496333
128,0.02061221916616109,0.9957160336880818,0.04143290079146405,0.9853300733496333
