round,test_acc,test_loss,train_loss,val_acc
0,0.3431,2.044195987701416,2.04291645921916,15.671999970436095
1,0.3688,1.8962652984619142,1.8923816488008798,16.503999967575073
2,0.3794,1.8703202619552612,1.8653895841934371,16.972000000357628
3,0.3949,1.8185575551986695,1.8115146678758502,16.807999976038925
4,0.411,1.8065092929840088,1.798558111419187,16.071999986767768
5,0.4167,1.7858795522689819,1.7778524199919965,20.52399998593331
6,0.4288,1.7638899709701539,1.7538990423612502,20.743999983310704
7,0.4339,1.7377556854248046,1.7254701150294844,20.69600000858307
8,0.4386,1.7349416893005372,1.7200839083986763,18.811999988317496
9,0.4405,1.7063813989639283,1.6894526615480234,21.132000011444088
10,0.4458,1.7164456575393676,1.6996073670534273,18.747999976158138
11,0.4499,1.6891793588638306,1.668602484978725,21.743999994277953
