round,test_acc,test_loss,train_loss,val_acc
0,0.9167,0.2858877413034439,0.299676406781053,51.77200000715256
1,0.9379,0.23427717685699462,0.2426171489114031,52.05599998807908
2,0.9487,0.19445123288035393,0.19563773954508915,52.81600000572205
3,0.9552,0.1716557491004467,0.16642431339695704,51.28000005292893
4,0.9586,0.15582056528925894,0.14610609854188444,50.54000005388261
5,0.9621,0.1441702513307333,0.13016986438202166,49.80800003910063
6,0.9647,0.13507650207579136,0.12155700464875964,53.780000061511984
7,0.9672,0.12562043538466097,0.11264344462019703,57.75200001478195
8,0.9681,0.11874700491130352,0.10413793587091691,57.88400005292891
9,0.9693,0.11568878634367138,0.09837588663259779,57.89200000715255
10,0.97,0.11219593456983566,0.09281919477769504,57.04000000715256
11,0.9713,0.1091856149318628,0.08718584207216308,58.08400001859664
12,0.9723,0.10778028164878488,0.08315174298927788,52.28800001096723
13,0.9728,0.10570262869298458,0.08026511130918514,58.17200002241133
14,0.9734,0.10367129459306598,0.07300977788338403,51.420000015735624
15,0.9735,0.10135243414174766,0.07189154808730484,54.364000074863434
16,0.9744,0.09992725000232458,0.06969722481208285,58.26800003528593
17,0.9748,0.09875212979058269,0.06722224008268965,52.47200003147124
18,0.9746,0.09567615285068751,0.0600298302547975,48.572000071525565
19,0.9752,0.09386957295499743,0.06409478107559909,58.25600001478194
20,0.9752,0.09520547197700943,0.06155466458671504,54.39599997758864
21,0.9748,0.09835831393562257,0.06284552462415126,50.532000012397766
22,0.9746,0.09756181437149644,0.0614981068064548,57.36000002479553
23,0.9744,0.09647929964978248,0.05984361080803361,57.36800003814695
24,0.9757,0.09682491869442165,0.060514306683461964,58.34400005769728
25,0.9749,0.09774329975806177,0.058312577137253664,53.472000023365005
26,0.9743,0.09955634023062884,0.055971132404058176,51.46800008630753
27,0.9748,0.09931094530411065,0.05535531602980831,49.60400005388261
28,0.9751,0.09970718439538032,0.05827676147587156,58.348000006198866
29,0.9751,0.1010739593423903,0.05504797571918664,50.56000004911424
30,0.9749,0.10209144498235546,0.05685951002366489,56.400000057697284
31,0.9749,0.10310160584696278,0.0551136242105661,53.452000031471236
32,0.9755,0.10412928241589106,0.05901064318927513,58.34000002574919
33,0.9756,0.10511175713182892,0.05959614481726312,58.356000053405765
34,0.9752,0.10653178937719203,0.0573605782047034,53.460000014305095
