round,test_acc,test_loss,train_loss,val_acc
0,0.8988,0.43749747104644776,0.4559237672968914,50.776000037670144
1,0.8988,0.4374974749565125,0.4566396552324295,49.8880000562668
2,0.8988,0.437497473859787,0.45663965534596224,49.88800009441377
3,0.8988,0.4374974662780762,0.4562002162594854,48.11200003767014
4,0.9462,0.17876303388476372,0.18116375528472775,49.81599999618529
5,0.9462,0.1787630333893001,0.18116108958833874,48.89200004482267
6,0.9462,0.17876303296089172,0.1818189055609206,52.6080000166893
7,0.9462,0.17876303342580796,0.18294084803205393,56.39600007534026
8,0.9575,0.14046703985705972,0.13695100178495057,57.17200007724762
9,0.9575,0.14046703743636607,0.13695100076273078,57.17200008869169
10,0.9575,0.14046704030036927,0.13767463897568524,56.24000000047682
11,0.9575,0.14046703832559287,0.13695100049703485,57.17200005388258
12,0.9646,0.12174549170956016,0.11117430302941092,51.860000010013586
13,0.9646,0.12174549019485711,0.11306200894151507,57.648000035762784
14,0.9646,0.12174548971652985,0.11169068574291541,50.984000021457646
15,0.9646,0.12174549188315868,0.11335615168997483,53.8520000476837
16,0.9676,0.1141764877229929,0.0993248159272596,57.836000047683726
17,0.9676,0.11417648768723011,0.09938361802924839,52.087999995231634
18,0.9676,0.11417648687958717,0.09583363869386419,48.21199993419647
19,0.9676,0.114176485939743,0.0993248161260918,57.836000058174136
20,0.9697,0.10715194199681283,0.09132969544508629,54.07600006771087
21,0.9697,0.10715194296389818,0.09188415280414317,50.24000001430511
22,0.9697,0.10715194256305695,0.09205253779799756,56.94400000476837
23,0.9697,0.107151941357553,0.09182411153639777,56.952000027656545
24,0.9705,0.10553915353864432,0.0878265522417923,58.05600002670289
25,0.9705,0.10553915174454451,0.0861707211745621,53.21599999666213
26,0.9705,0.10553915356528014,0.08653489538463734,51.22800001335142
27,0.9705,0.10553915140032769,0.08384044463440678,49.37600002145767
28,0.9712,0.1045295476092957,0.08382537924433127,58.05200001382827
29,0.9712,0.10452954947054387,0.08312579423173043,50.287999995231615
30,0.9712,0.10452954717427493,0.08242359255135714,56.123999998569495
31,0.9712,0.10452954788804054,0.08173861142773407,53.18799998378755
32,0.9704,0.10775952807865105,0.0839514987612298,58.052000026226054
33,0.9704,0.10775952543616295,0.08395149815770177,58.05200006151199
34,0.9704,0.10775952641260811,0.0842233605966339,53.18000004148483
35,0.9704,0.10775952969565987,0.08395149940453832,58.052000010490396
36,0.9713,0.10957891465695575,0.08375933003260808,58.06800005817412
37,0.9713,0.10957891536599491,0.08463647802282222,57.09999999856949
38,0.9713,0.10957891406416893,0.08375933056969793,58.06800001382827
39,0.9713,0.10957891454473138,0.0814446393643518,49.37600002431869
